Transaction_ID,Date,Account_Number,Transaction_Type,Amount,Currency,Counterparty,Category,Payment_Method,Risk_Incident,Risk_Type,Incident_Severity,Error_Code,User_ID,System_Latency,Login_Frequency,Failed_Attempts,IP_Region
TXN00015,2024-01-14,545552,Refund,2700.49,USD,Brown Ltd,Inventory,Credit Card,0,None,None,None,U193,474.98,1,5,IR
TXN00016,2024-10-21,696697,Credit,6583.48,USD,Berger-Williams,Sales,Credit Card,0,None,None,None,U494,483.06,6,0,LI
TXN00017,2024-01-16,522781,Debit,3300.97,USD,Cochran-Horton,Payroll,Bank Transfer,0,None,None,None,U327,451.88,4,2,SL
TXN00018,2024-11-18,369903,Debit,448.03,USD,"Jimenez, Stevenson and Williams",Operations,Credit Card,0,None,None,None,U095,179.89,1,5,TW
TXN00019,2024-02-01,578528,Debit,6227.42,USD,Browning LLC,Operations,Credit Card,0,None,None,None,U096,300.67,10,5,SE
TXN00020,2024-05-12,420885,Debit,4536.49,USD,"Wells, Vazquez and Watkins",Payroll,Bank Transfer,0,None,None,None,U370,385.05,5,0,IL
TXN00021,2024-08-22,390800,Debit,9474.71,USD,"Larson, Webb and Cruz",Marketing,Cash,0,None,None,None,U114,135.6,6,4,KN
TXN00022,2024-07-31,765447,Refund,9998.21,USD,Moore-Schmidt,Inventory,Cash,0,None,None,None,U044,196.61,9,2,VN
TXN00023,2024-10-15,950777,Refund,9069.71,USD,Young PLC,Marketing,Cash,0,None,None,None,U464,239.64,8,0,LA
TXN00024,2024-09-26,395222,Debit,7972.36,USD,Andrews PLC,Operations,Bank Transfer,0,None,None,None,U461,258.97,6,2,GM
TXN00025,2024-06-16,837620,Refund,1301.91,USD,Harris-Kemp,Sales,Credit Card,0,None,None,None,U149,269.69,10,3,SI
TXN00026,2024-08-30,964990,Debit,8634.16,USD,Phillips-Taylor,Sales,Cash,0,None,None,None,U349,347.05,6,5,CG
TXN00027,2024-06-14,805539,Refund,8017.56,USD,Meadows-Brown,Inventory,Bank Transfer,0,None,None,None,U162,489.35,1,3,IN
TXN00028,2024-01-24,108842,Refund,2836.71,USD,Webb-Oneill,Inventory,Cash,0,None,None,None,U381,198.98,9,0,EC
TXN00029,2024-01-28,710232,Refund,7983.49,USD,Gomez-Kane,Marketing,Cash,0,None,None,None,U446,494.8,3,3,UZ
TXN00030,2024-04-26,929876,Refund,7440.56,USD,"Casey, Jones and Richards",Operations,Credit Card,0,None,None,None,U252,423.15,6,4,SL
TXN00031,2024-05-29,920843,Credit,5476.09,USD,Craig Inc,Inventory,Credit Card,0,None,None,None,U319,317.04,8,1,CR
TXN00032,2024-05-13,561835,Debit,6026.89,USD,Chandler and Sons,Payroll,Credit Card,0,None,None,None,U343,422.25,3,4,TZ
TXN00033,2024-11-27,619444,Credit,934.58,USD,"Jones, Taylor and Robles",Payroll,Bank Transfer,0,None,None,None,U359,242.16,4,5,FM
TXN00034,2024-07-20,143899,Refund,2559.09,USD,Bailey-Chavez,Payroll,Bank Transfer,1,Fraud,High,F001,U462,454.09,3,4,BG
TXN00035,2024-11-27,929230,Credit,2408.4,USD,Washington-Howell,Sales,Cash,1,Fraud,High,F001,U045,314.88,4,4,MT
TXN00036,2024-05-30,958105,Debit,7711.07,USD,Walton-Conley,Payroll,Bank Transfer,0,None,None,None,U329,365.72,1,1,GR
TXN00037,2024-06-09,542265,Debit,3995.18,USD,Webster-Hanson,Marketing,Cash,0,None,None,None,U479,127.32,1,0,GD
TXN00038,2024-04-18,739614,Refund,214.92,USD,Rogers-Jackson,Marketing,Bank Transfer,0,None,None,None,U291,361.33,8,4,VA
TXN00039,2024-04-17,453372,Credit,2090.15,USD,Cruz-Williams,Sales,Credit Card,0,None,None,None,U311,469.37,1,5,US
TXN00040,2024-03-09,699305,Credit,3891.14,USD,"Evans, Hansen and Mccall",Payroll,Bank Transfer,0,None,None,None,U230,230.81,9,1,LA
TXN00041,2024-03-18,410985,Credit,4029.94,USD,Brown LLC,Inventory,Bank Transfer,0,None,None,None,U081,373.01,7,2,TD
TXN00042,2024-10-09,804850,Debit,6475.21,USD,Vasquez-Hill,Inventory,Cash,0,None,None,None,U356,461.58,2,2,SN
TXN00043,2024-08-16,880608,Debit,9544.78,USD,"Baker, Buchanan and Michael",Inventory,Cash,0,None,None,None,U282,377.0,9,3,SB
TXN00044,2024-05-03,246100,Credit,1549.81,USD,Walsh LLC,Operations,Credit Card,1,Error,Medium,M003,U326,340.0,7,4,GR
TXN00045,2024-08-06,469464,Debit,2992.48,USD,Anderson-Villarreal,Marketing,Bank Transfer,0,None,None,None,U492,399.99,10,1,BR
TXN00046,2024-05-09,618602,Debit,8012.99,USD,Hardy-Evans,Marketing,Cash,0,None,None,None,U500,497.27,5,0,BN
TXN00047,2024-11-11,247846,Credit,7361.53,USD,Carson-Shelton,Payroll,Cash,0,None,None,None,U340,409.97,9,3,SZ
TXN00048,2024-04-15,941791,Debit,9217.78,USD,Pitts PLC,Inventory,Credit Card,0,None,None,None,U339,466.45,5,1,AT
TXN00049,2024-06-25,759004,Credit,9038.31,USD,Valentine LLC,Payroll,Credit Card,0,None,None,None,U091,272.87,7,3,TR
TXN00050,2024-07-27,342697,Credit,6039.1,USD,Morgan LLC,Payroll,Credit Card,0,None,None,None,U471,205.49,8,1,ST
TXN00051,2024-10-09,320189,Refund,3596.85,USD,"Ewing, Miles and Henderson",Marketing,Bank Transfer,1,Misstatement,Low,M003,U429,269.83,5,4,ZM
TXN00052,2024-07-01,615514,Credit,970.15,USD,Moore-Hansen,Marketing,Bank Transfer,0,None,None,None,U119,341.1,8,3,CM
TXN00053,2024-04-21,829497,Debit,3680.89,USD,"Gibson, Johnson and Carlson",Marketing,Cash,1,Error,Low,M003,U487,353.53,6,0,TV
TXN00054,2024-02-23,577078,Refund,2006.71,USD,"Martin, Brooks and Smith",Marketing,Cash,1,Fraud,High,E002,U470,268.36,3,1,BI
TXN00055,2024-03-14,461638,Credit,4459.97,USD,Frazier-Rivas,Inventory,Credit Card,0,None,None,None,U253,479.59,10,4,LT
TXN00056,2024-01-08,502460,Refund,3887.01,USD,Barrett-Jones,Payroll,Credit Card,1,Misstatement,Low,F001,U284,336.76,2,3,CA
TXN00057,2024-09-04,449401,Debit,2692.11,USD,Bailey-Kelly,Payroll,Bank Transfer,0,None,None,None,U481,257.33,5,5,CM
TXN00058,2024-04-11,701677,Credit,6007.4,USD,Sanchez Group,Payroll,Bank Transfer,0,None,None,None,U209,454.13,9,2,CL
TXN00059,2024-12-18,192171,Debit,911.32,USD,Gomez-Williams,Marketing,Credit Card,0,None,None,None,U189,474.34,4,5,ET
TXN00060,2024-03-15,895624,Refund,4231.14,USD,Hoffman LLC,Inventory,Credit Card,0,None,None,None,U332,213.58,6,5,VU
TXN00061,2024-08-28,974785,Credit,3688.68,USD,Hopkins LLC,Inventory,Bank Transfer,0,None,None,None,U488,272.65,7,5,MX
TXN00062,2024-02-09,867409,Refund,1871.69,USD,Campbell and Sons,Payroll,Bank Transfer,0,None,None,None,U355,444.0,6,5,TN
TXN00063,2024-05-20,888896,Refund,6310.56,USD,Mata-Cunningham,Payroll,Cash,0,None,None,None,U310,434.6,1,5,IS
TXN00064,2025-01-05,888500,Credit,938.55,USD,Ewing-Wiley,Sales,Bank Transfer,0,None,None,None,U109,294.1,9,3,AG
TXN00065,2024-09-02,824077,Refund,5138.28,USD,Jimenez-Griffin,Inventory,Bank Transfer,0,None,None,None,U203,335.94,7,1,RW
TXN00066,2024-07-31,606520,Debit,9732.99,USD,Hardy Ltd,Payroll,Credit Card,0,None,None,None,U394,176.5,10,1,KZ
TXN00067,2024-10-27,607412,Refund,6767.64,USD,Christian-Oliver,Marketing,Cash,0,None,None,None,U166,292.55,3,5,AD
TXN00068,2024-03-29,211674,Debit,6479.63,USD,Hendricks-Ortiz,Operations,Credit Card,0,None,None,None,U176,390.75,3,1,SC
TXN00069,2024-06-01,829723,Debit,7139.22,USD,Petty-Matthews,Inventory,Cash,0,None,None,None,U370,342.48,8,1,PS
TXN00070,2024-05-08,340832,Refund,9307.37,USD,Kelly Ltd,Payroll,Cash,1,Fraud,Low,F001,U144,494.64,1,1,IT
TXN00071,2024-06-11,878231,Debit,5277.51,USD,"Hoffman, Vazquez and Hatfield",Marketing,Cash,0,None,None,None,U380,136.18,3,1,LR
TXN00072,2024-07-10,310640,Credit,6475.78,USD,"Johnston, Herrera and Reynolds",Operations,Credit Card,0,None,None,None,U073,451.09,6,2,MV
TXN00073,2024-06-23,733023,Debit,848.86,USD,Morris-Odonnell,Operations,Cash,0,None,None,None,U431,152.45,3,1,GH
TXN00074,2024-12-15,909278,Debit,4687.51,USD,Jenkins Group,Inventory,Bank Transfer,0,None,None,None,U413,495.22,6,3,KG
TXN00075,2024-12-28,261050,Debit,801.04,USD,"Perry, Brown and Mata",Operations,Cash,0,None,None,None,U068,426.7,5,1,NR
TXN00076,2024-03-11,911733,Credit,8017.43,USD,Saunders-Wagner,Marketing,Cash,0,None,None,None,U356,297.78,2,3,SG
TXN00077,2024-12-31,469725,Credit,3010.93,USD,"Dillon, Gray and Allen",Payroll,Credit Card,0,None,None,None,U014,130.83,2,4,EE
TXN00078,2024-05-03,801805,Credit,9842.02,USD,Martin-Fischer,Operations,Cash,0,None,None,None,U362,403.6,1,5,CN
TXN00079,2024-07-01,638781,Refund,6846.3,USD,Brandt Inc,Operations,Cash,0,None,None,None,U075,371.87,6,1,EG
TXN00080,2024-08-24,366612,Credit,3011.08,USD,Montoya LLC,Payroll,Credit Card,0,None,None,None,U492,498.72,6,3,SL
TXN00081,2024-09-11,417301,Debit,2494.05,USD,Pruitt-Jones,Inventory,Credit Card,1,Misstatement,Medium,E002,U093,225.12,7,4,LR
TXN00082,2024-06-09,276085,Credit,4283.04,USD,Barnes-Allen,Operations,Cash,0,None,None,None,U414,388.12,3,5,AT
TXN00083,2024-02-14,718844,Credit,5689.67,USD,Green-Huerta,Sales,Cash,0,None,None,None,U421,370.44,5,0,LS
TXN00084,2024-03-11,954250,Debit,5514.43,USD,Pollard Group,Marketing,Credit Card,0,None,None,None,U210,150.88,2,1,MY
TXN00085,2024-11-26,259814,Refund,9173.85,USD,"Morris, Rodriguez and Campbell",Marketing,Bank Transfer,0,None,None,None,U354,103.61,3,2,TR
TXN00086,2024-06-17,870883,Credit,5139.01,USD,"Washington, Anderson and Melendez",Operations,Cash,0,None,None,None,U313,316.01,7,2,IE
TXN00087,2024-07-12,510960,Refund,5111.41,USD,Ortiz-Mitchell,Sales,Credit Card,0,None,None,None,U182,364.16,7,0,FJ
TXN00088,2024-06-15,617651,Refund,4136.06,USD,Taylor Ltd,Inventory,Cash,0,None,None,None,U341,163.54,8,2,SV
TXN00089,2024-12-04,789862,Refund,4651.92,USD,Williams-Berger,Operations,Bank Transfer,1,Error,Low,F001,U324,466.04,7,2,KE
TXN00090,2024-06-14,309887,Debit,7205.9,USD,Salinas-Beck,Sales,Cash,0,None,None,None,U181,149.68,9,1,PA
TXN00091,2024-05-12,124168,Refund,8130.12,USD,Stephens-Oliver,Marketing,Cash,0,None,None,None,U319,444.18,1,4,BT
TXN00092,2024-11-20,228712,Refund,3561.02,USD,King Inc,Operations,Cash,0,None,None,None,U167,246.13,10,3,PT
TXN00093,2024-01-15,125430,Debit,5859.82,USD,"Campbell, Evans and Patton",Operations,Cash,0,None,None,None,U365,130.09,5,4,ST
TXN00094,2024-10-26,651806,Refund,7688.78,USD,Cook Group,Operations,Bank Transfer,0,None,None,None,U450,116.59,1,2,FJ
TXN00095,2024-11-04,205025,Refund,172.52,USD,"Campbell, Oneill and Williams",Operations,Cash,0,None,None,None,U049,209.61,6,3,TH
TXN00096,2024-12-26,457811,Debit,7407.76,USD,Stewart-Wade,Marketing,Bank Transfer,0,None,None,None,U187,240.74,10,2,AO
TXN00097,2024-04-06,934651,Debit,4634.16,USD,Jordan-Gutierrez,Sales,Credit Card,0,None,None,None,U112,418.6,7,4,JP
TXN00098,2024-09-27,886528,Credit,7863.91,USD,Hall-Carr,Marketing,Credit Card,0,None,None,None,U171,168.61,5,0,IL
TXN00099,2024-03-12,237319,Credit,8430.67,USD,Hernandez and Sons,Operations,Cash,0,None,None,None,U218,221.9,8,2,CN
TXN00100,2024-06-18,383233,Credit,462.13,USD,"Sandoval, Jordan and Harris",Marketing,Bank Transfer,0,None,None,None,U378,494.49,1,2,HU
TXN00101,2024-07-26,762787,Refund,4168.35,USD,Fowler-Dorsey,Payroll,Credit Card,0,None,None,None,U180,208.26,4,3,UA
TXN00102,2024-10-13,314190,Refund,7046.74,USD,Gordon Group,Operations,Cash,0,None,None,None,U452,375.45,4,2,SV
TXN00103,2024-08-11,603092,Refund,3146.32,USD,"Osborne, Pearson and Thomas",Sales,Bank Transfer,0,None,None,None,U144,160.2,7,5,GY
TXN00104,2024-10-09,385890,Debit,7243.71,USD,"Fox, Jones and Houston",Operations,Credit Card,0,None,None,None,U191,137.54,5,0,GB
TXN00105,2024-02-15,902444,Refund,7575.97,USD,Stone-Clark,Marketing,Credit Card,1,Fraud,High,E002,U431,234.63,3,3,GN
TXN00106,2024-07-31,787816,Credit,4504.98,USD,Torres-Davidson,Operations,Cash,0,None,None,None,U218,263.21,5,3,TW
TXN00107,2024-10-08,765109,Debit,8080.26,USD,Graham-Lewis,Operations,Bank Transfer,0,None,None,None,U430,352.87,6,2,SE
TXN00108,2024-05-04,322423,Debit,3419.93,USD,Morris Inc,Operations,Bank Transfer,0,None,None,None,U096,194.33,4,1,WS
TXN00109,2024-08-20,671299,Debit,9181.94,USD,"Wilson, Myers and Sanders",Operations,Bank Transfer,0,None,None,None,U317,184.86,3,2,BS
TXN00110,2024-03-12,423277,Credit,8101.96,USD,"Kline, Summers and Clark",Payroll,Bank Transfer,0,None,None,None,U274,371.25,1,2,BH
TXN00111,2024-11-18,207601,Credit,2118.57,USD,"Mcdonald, Lee and Hogan",Marketing,Cash,0,None,None,None,U062,114.59,7,0,PA
TXN00112,2024-05-25,951374,Credit,791.42,USD,Murray-Page,Operations,Credit Card,0,None,None,None,U405,162.26,6,0,UG
TXN00113,2024-03-29,831391,Debit,9822.04,USD,Garcia-Nelson,Marketing,Bank Transfer,1,Fraud,Medium,F001,U005,175.44,5,2,UZ
TXN00114,2024-02-29,580256,Debit,2600.58,USD,Hanson Group,Operations,Credit Card,0,None,None,None,U067,152.59,4,3,PW
TXN00115,2024-09-07,553570,Refund,6737.35,USD,Smith-Walsh,Payroll,Credit Card,0,None,None,None,U411,151.29,3,4,SI
TXN00116,2024-12-19,329698,Refund,4343.65,USD,Barnes-George,Inventory,Bank Transfer,1,Fraud,High,F001,U466,196.23,7,2,IE
TXN00117,2024-05-10,725695,Credit,188.97,USD,Brown LLC,Payroll,Credit Card,0,None,None,None,U223,315.38,2,5,LS
TXN00118,2024-08-21,309281,Debit,3955.39,USD,Duran Inc,Inventory,Cash,0,None,None,None,U171,481.76,5,5,QA
TXN00119,2024-09-06,345429,Refund,142.91,USD,"Henderson, Peterson and Diaz",Operations,Bank Transfer,1,Misstatement,Medium,M003,U353,105.8,4,0,NG
TXN00120,2024-11-19,571231,Credit,6561.45,USD,"Swanson, Anderson and Gutierrez",Marketing,Bank Transfer,0,None,None,None,U253,121.46,5,3,CY
TXN00121,2024-12-02,739518,Credit,4607.03,USD,Bennett-Gonzalez,Sales,Credit Card,0,None,None,None,U492,297.81,1,5,TJ
TXN00122,2024-05-11,329044,Refund,4056.87,USD,Chapman-Thompson,Inventory,Cash,1,Misstatement,Medium,E002,U293,225.35,4,2,HN
TXN00123,2024-04-11,238775,Credit,6580.59,USD,Sanchez-Johnson,Marketing,Bank Transfer,0,None,None,None,U142,442.05,8,1,BI
TXN00124,2024-12-27,499262,Debit,7445.03,USD,"Krause, Cervantes and Carter",Payroll,Cash,0,None,None,None,U148,402.69,2,2,MH
TXN00125,2024-04-24,987822,Credit,7261.85,USD,"Stewart, Wilson and Davila",Operations,Credit Card,0,None,None,None,U351,435.27,6,1,SG
TXN00126,2024-04-20,152885,Debit,3034.97,USD,Williams Group,Marketing,Bank Transfer,0,None,None,None,U490,126.22,3,1,MW
TXN00127,2024-03-18,849737,Debit,8133.19,USD,Alvarez Group,Marketing,Cash,0,None,None,None,U067,209.46,5,4,HU
TXN00128,2024-08-27,528945,Refund,6171.28,USD,Williams-Clark,Payroll,Bank Transfer,1,Misstatement,Low,F001,U434,163.85,4,1,CU
TXN00129,2024-10-08,315173,Refund,6909.72,USD,Adams-Mitchell,Operations,Credit Card,0,None,None,None,U422,156.46,2,5,AG
TXN00130,2024-11-05,139733,Refund,9631.78,USD,Wilson-Moore,Sales,Bank Transfer,0,None,None,None,U182,213.23,1,1,NP
TXN00131,2024-11-06,804921,Credit,6754.27,USD,"Hernandez, Carter and Edwards",Sales,Cash,0,None,None,None,U240,219.01,10,2,VE
TXN00132,2024-02-26,378830,Refund,8048.36,USD,West-Hamilton,Payroll,Bank Transfer,0,None,None,None,U339,401.21,2,2,GQ
TXN00133,2024-07-28,536241,Refund,885.47,USD,Frye-Ross,Payroll,Cash,0,None,None,None,U197,238.61,6,2,AD
TXN00134,2024-01-29,787369,Credit,1359.79,USD,Mcbride-Olson,Sales,Bank Transfer,0,None,None,None,U431,295.14,7,5,IR
TXN00135,2024-01-13,701163,Refund,1916.11,USD,Novak Inc,Marketing,Cash,1,Error,High,M003,U065,247.63,9,4,MA
TXN00136,2024-12-16,351163,Credit,8161.52,USD,Collins Group,Inventory,Credit Card,0,None,None,None,U409,403.99,4,1,VU
TXN00137,2024-04-17,520693,Credit,6963.36,USD,Cox Inc,Marketing,Bank Transfer,0,None,None,None,U271,398.25,1,2,ZW
TXN00138,2024-01-08,658076,Debit,1890.33,USD,Randolph-Williams,Operations,Cash,0,None,None,None,U454,184.94,10,5,CF
TXN00139,2024-11-12,751378,Debit,277.88,USD,Gross-Dickson,Operations,Cash,0,None,None,None,U253,446.85,6,2,BY
TXN00140,2024-09-17,917305,Refund,4816.36,USD,"Rodriguez, Reed and Knapp",Operations,Cash,1,Error,Low,F001,U365,476.66,4,0,IS
TXN00141,2024-11-19,501248,Credit,1460.09,USD,"Wheeler, Lawson and Chen",Sales,Cash,1,Error,Medium,M003,U498,306.2,2,4,BS
TXN00142,2024-07-28,885910,Debit,2425.38,USD,Parker Ltd,Marketing,Bank Transfer,0,None,None,None,U259,441.99,3,4,VU
TXN00143,2024-12-04,832159,Debit,8422.48,USD,Browning-Lindsey,Payroll,Bank Transfer,0,None,None,None,U117,355.86,3,2,IQ
TXN00144,2024-04-22,347903,Debit,8583.31,USD,Howard-Oneal,Inventory,Credit Card,0,None,None,None,U328,452.79,6,2,ER
TXN00145,2024-03-18,998011,Debit,5390.44,USD,Smith-Bauer,Payroll,Cash,0,None,None,None,U465,343.24,3,0,SD
TXN00146,2024-06-22,269133,Refund,870.07,USD,Sanchez-Knight,Operations,Bank Transfer,0,None,None,None,U260,286.25,7,4,AR
TXN00147,2024-11-20,540422,Debit,7699.51,USD,Sawyer PLC,Payroll,Bank Transfer,0,None,None,None,U252,155.89,5,5,LT
TXN00148,2024-06-06,991262,Refund,1490.17,USD,Gutierrez-Martin,Operations,Cash,0,None,None,None,U197,207.93,10,5,VU
TXN00149,2024-11-03,462768,Credit,4224.57,USD,Pena-Long,Inventory,Bank Transfer,0,None,None,None,U181,220.91,8,4,KZ
TXN00150,2024-04-22,880543,Refund,1173.42,USD,Garrett-Watson,Sales,Credit Card,0,None,None,None,U059,415.09,5,3,MK
TXN00151,2024-11-28,387197,Debit,9025.13,USD,Ellison-Waters,Payroll,Credit Card,1,Misstatement,Medium,F001,U077,134.42,8,3,CU
TXN00152,2024-08-25,239759,Credit,7390.42,USD,"Cole, Santana and Franco",Marketing,Credit Card,0,None,None,None,U038,462.92,9,2,AO
TXN00153,2024-07-24,679713,Credit,4458.21,USD,"Brown, Phillips and Davidson",Inventory,Bank Transfer,0,None,None,None,U233,104.81,8,2,ES
TXN00154,2024-10-01,631651,Refund,4855.62,USD,Moore-Hamilton,Inventory,Bank Transfer,0,None,None,None,U351,293.69,1,3,MX
TXN00155,2024-06-21,297227,Credit,206.08,USD,Mendez-Wright,Operations,Cash,1,Fraud,Low,F001,U255,367.71,7,1,IS
TXN00156,2024-03-14,556625,Refund,4500.67,USD,"Parker, Rocha and Oneill",Inventory,Bank Transfer,0,None,None,None,U453,169.56,8,5,JP
TXN00157,2024-04-23,888785,Credit,2433.87,USD,"Hart, Richardson and Simmons",Payroll,Cash,0,None,None,None,U182,371.07,7,4,PY
TXN00158,2024-01-27,818282,Refund,2955.37,USD,Johnson-Tran,Marketing,Credit Card,0,None,None,None,U246,381.04,5,0,DK
TXN00159,2025-01-04,248129,Debit,8296.21,USD,"Terry, Pena and Taylor",Marketing,Credit Card,0,None,None,None,U494,196.61,5,5,CA
TXN00160,2024-02-10,436453,Refund,3923.42,USD,Brown-Henry,Marketing,Credit Card,0,None,None,None,U152,471.45,3,2,SB
TXN00161,2024-12-29,499896,Refund,3345.16,USD,White LLC,Inventory,Bank Transfer,0,None,None,None,U457,402.6,9,5,BY
TXN00162,2025-01-06,301022,Debit,1035.61,USD,Bradley-Dominguez,Payroll,Credit Card,0,None,None,None,U225,295.59,7,3,TD
TXN00163,2024-01-18,887491,Refund,8477.82,USD,"Baxter, Rogers and Flores",Sales,Cash,0,None,None,None,U480,351.84,4,0,IS
TXN00164,2024-06-15,529111,Refund,4323.56,USD,Smith and Sons,Marketing,Credit Card,0,None,None,None,U352,188.24,1,3,NR
TXN00165,2024-09-15,914092,Credit,4162.7,USD,"Hall, Morgan and Hernandez",Inventory,Bank Transfer,0,None,None,None,U028,274.47,8,3,CL
TXN00166,2024-08-24,223107,Refund,4962.08,USD,"Smith, Shaffer and Myers",Marketing,Cash,0,None,None,None,U104,237.26,1,1,GH
TXN00167,2024-06-24,907268,Credit,5790.83,USD,Smith Group,Operations,Cash,0,None,None,None,U178,276.33,8,2,HT
TXN00168,2024-05-21,674769,Debit,7313.47,USD,"Gray, Washington and Cohen",Sales,Bank Transfer,0,None,None,None,U300,125.95,9,5,LC
TXN00169,2024-02-08,371340,Credit,9990.27,USD,Drake PLC,Payroll,Bank Transfer,0,None,None,None,U280,150.91,2,0,JO
TXN00170,2024-09-29,927898,Credit,379.8,USD,"Franklin, Clark and Alvarez",Payroll,Cash,0,None,None,None,U299,242.79,1,0,DE
TXN00171,2024-06-09,442620,Debit,4002.81,USD,Hoffman-Young,Operations,Credit Card,0,None,None,None,U382,478.81,2,5,PS
TXN00172,2024-05-13,480160,Credit,5138.42,USD,"Ryan, King and Wright",Operations,Bank Transfer,0,None,None,None,U046,235.02,1,3,KW
TXN00173,2024-06-16,786355,Debit,7248.9,USD,Mann LLC,Sales,Credit Card,0,None,None,None,U261,223.99,2,1,NR
TXN00174,2024-06-29,682556,Refund,9353.46,USD,Schmitt-Bryan,Inventory,Bank Transfer,0,None,None,None,U209,470.7,3,1,GT
TXN00175,2024-07-21,905935,Refund,9051.68,USD,Turner and Sons,Payroll,Cash,0,None,None,None,U168,215.24,5,0,LS
TXN00176,2024-02-26,925395,Credit,8677.67,USD,"Martin, Little and Mahoney",Operations,Cash,0,None,None,None,U015,475.04,5,2,LI
TXN00177,2024-12-30,772344,Refund,2326.74,USD,"Murphy, Mcdonald and Olson",Operations,Credit Card,0,None,None,None,U484,171.89,9,1,BF
TXN00178,2024-06-22,796442,Debit,616.44,USD,"Webb, Saunders and Ruiz",Marketing,Credit Card,0,None,None,None,U265,255.85,1,5,BH
TXN00179,2024-08-10,341007,Refund,200.01,USD,Sims LLC,Sales,Credit Card,1,Fraud,Low,E002,U208,271.2,6,3,CV
TXN00180,2024-12-14,177288,Debit,5768.27,USD,"Villegas, Barrett and Ward",Marketing,Credit Card,0,None,None,None,U451,235.83,7,3,SI
TXN00181,2024-02-14,610078,Refund,5537.02,USD,Hill-Hoffman,Inventory,Cash,0,None,None,None,U238,373.34,10,0,MW
TXN00182,2024-08-30,543052,Credit,2685.81,USD,Hanson PLC,Sales,Bank Transfer,0,None,None,None,U308,332.04,5,2,OM
TXN00183,2024-08-05,723672,Refund,6486.52,USD,Simmons-Phelps,Sales,Bank Transfer,1,Error,Low,F001,U104,419.45,3,4,VN
TXN00184,2024-06-13,652502,Refund,8892.51,USD,"Smith, Fernandez and Mcdonald",Sales,Cash,1,Misstatement,Medium,M003,U299,330.84,2,2,YE
TXN00185,2024-11-30,839795,Refund,1178.24,USD,Anderson-Hodges,Operations,Cash,0,None,None,None,U046,447.98,2,4,BT
TXN00186,2024-03-08,498955,Debit,6230.74,USD,"Ramos, Pham and Martinez",Marketing,Cash,0,None,None,None,U124,342.89,9,3,MW
TXN00187,2024-12-06,117258,Debit,6465.34,USD,Le-Mclaughlin,Inventory,Credit Card,0,None,None,None,U354,171.69,8,1,TN
TXN00188,2024-11-29,566016,Credit,4488.77,USD,Goodman-Santos,Operations,Cash,0,None,None,None,U181,383.12,5,2,EE
TXN00189,2024-04-15,838282,Debit,4367.94,USD,Herrera-Gutierrez,Operations,Bank Transfer,0,None,None,None,U320,432.91,10,4,PT
TXN00190,2024-03-10,496676,Refund,1621.72,USD,"Gonzalez, Bailey and Foley",Payroll,Credit Card,0,None,None,None,U266,484.69,1,2,SZ
TXN00191,2024-12-15,153409,Refund,7264.83,USD,"Leblanc, Villanueva and Mora",Marketing,Credit Card,0,None,None,None,U079,238.3,1,4,TG
